event_id,fatality_count,injury_count,country_name
2716,0,,Vietnam
3116,,,India
2230,0,,United States
135,4,,China
30,,,United States
5452,0,,United States
7784,0,0,United States
6484,5,0,China
2203,0,,Pakistan
1988,0,,India
2099,0,,Nepal
4139,0,,India
5028,,,United States
8285,0,0,United States
2612,0,,Philippines
333,3,,Dominican Republic
3843,5,,Philippines
4574,,,United Kingdom
781,277,33,China
1109,0,,India
2760,0,,Trinidad and Tobago
7196,0,0,India
8645,0,0,United States
4164,0,,United States
6640,0,0,New Zealand
3128,0,,India
6989,1,5,China
9280,0,0,Jamaica
10055,0,0,
3777,1,,India
1383,12,,Brazil
2005,0,,Philippines
1310,0,,United States
9146,0,0,United States
4683,,,Philippines
9233,0,0,United States
2142,0,,United States
9065,0,0,Canada
66,,,Spain
5721,0,,Dominica
3100,0,,Sri Lanka
450,,,United States
930,,,United States
1839,0,,Kenya
3379,0,,United States
2206,234,,India
89,,,China
6075,0,0,Bulgaria
8562,4,1,Kenya
2847,0,,Indonesia
506,3,,Haiti
1817,0,,United States
6588,0,0,United States
6035,2,3,China
4047,0,,Philippines
1961,0,,India
2403,2,,Nepal
9658,0,0,Philippines
2307,0,,Nepal
7514,0,0,Mexico
5765,0,0,Indonesia
5947,1,3,Lebanon
595,,,India
4838,,,United States
2816,0,,United States
5507,0,,United States
9474,1,0,India
9199,0,0,India
2578,0,,India
9106,0,0,United States
9023,0,0,China
2903,0,,United States
9513,0,0,Australia
4456,,,United States
1257,0,,United States
3872,0,,Philippines
5751,2,0,Peru
8835,0,0,United States
8365,0,0,Iceland
322,,,India
8579,0,0,United States
6427,0,0,Canada
490,,,Indonesia
3779,3,,Nepal
5880,0,0,United States
5416,0,,United States
4840,,,Malaysia
8005,0,0,United States
6020,0,0,Bangladesh
4724,,,United States
8347,0,0,United States
2626,0,,Philippines
5526,1,,Mexico
9200,0,0,United States
6494,0,0,United States
2117,0,,Bhutan
851,,,Vietnam
7480,0,0,Nicaragua
685,,,Philippines
9135,0,0,United States
4693,2,,Kenya
5345,,,United States
9583,0,0,Canada
1504,1,,Indonesia
7128,0,0,United States
2006,0,,France
901,,,Malaysia
7823,0,0,United States
7421,0,0,Guatemala
70,,,Sri Lanka
7411,0,0,Thailand
1560,0,,United States
4726,,,Nepal
4163,0,,United States
1269,0,,United States
5954,0,0,United States
7579,0,0,United States
1114,0,,Nepal
6735,0,0,Costa Rica
6759,0,0,United States
5459,0,,United States
9218,2,2,Pakistan
2992,0,,Fiji
7635,0,0,Japan
8349,0,0,United States
4147,0,,Canada
5552,,,India
1832,0,,United States
583,1,,Japan
3170,3,,Colombia
2534,0,,Vietnam
1760,0,,Jamaica
321,5,,Philippines
9528,0,0,Pakistan
6613,3,0,Philippines
420,,,United States
3707,0,,India
427,,,United Arab Emirates
5170,0,4,United States
3832,0,,Mexico
1708,0,,Brazil
3621,4,,India
392,,,Trinidad and Tobago
1145,1,,Chile
4529,,,United States
2241,,,India
1764,0,,Jamaica
9659,0,0,Philippines
3017,0,,United States
8677,2,2,Nepal
7225,0,0,Nepal
4500,,,United Kingdom
9632,0,0,United States
7495,0,0,Costa Rica
2766,0,,Venezuela
1577,0,,Indonesia
125,,,Philippines
2854,0,,United States
3676,1,,South Korea
2735,0,,Jamaica
3562,0,,India
7091,0,0,Switzerland
3250,0,,India
9356,0,0,India
5208,,,India
2840,0,,United States
3838,0,,United Kingdom
7919,0,0,United States
3353,5,,Colombia
628,6,,China
4166,0,,Fiji
277,3,,Guatemala
4225,0,,United States
2077,0,,Philippines
2652,0,,Honduras
4344,,,United States
5053,,,India
6495,0,0,United States
3273,0,,United States
182,,,Pakistan
40,10,,Pakistan
1754,0,,Dominica
6909,0,0,Peru
8906,0,0,Panama
4807,,,United States
349,,,Vietnam
1687,0,,Brazil
362,3,,Philippines
1993,0,,India
5484,11,,China
8419,0,0,United States
